The Top 50 Countries With the Largest Percentage of Older Adults
Rank;Country;# 65+ (in millions);% 65+ (of total population);# total population (in millions)
1;China;166.37;11.9;1398.03
2;India;84.9;6.1;1391.89
3;United States;52.76;16;329.15
4;Japan;35.58;28.2;126.18
5;Russian Federation;21.42;14.6;146.73
6;Brazil;17.79;8.5;209.33
7;Germany;17.78;21.4;83.1
8;Indonesia;15.16;5.6;268.42
9;Itlay;13.76;22.8;60.34
10;France;13.16;20.3;64.83
11;United Kingdom;12.24;18.3;66.83
12;Pakistan;9.31;4.3;216.57
13;Mexico;9.17;7.2;126.58
14;Spain;8.99;19.1;47.07
15;Bangladesh;8.35;5.1;163.67
16;South Korea;7.83;15.1;51.85
17;Thailand;7.61;11.5;66.37
18;Turkey;7.27;8.8;82.61
19;Ukraine;6.94;16.5;42.04
20;Poland;6.72;17.5;38.4
21;Viet Nam;6.72;7;95.66
22;Canada;6.44;17.2;37.41
23;Philippines;5.51;5.1;108.12
24;Nigeria;5.43;2.7;200.96
25;Iran;5.12;6.1;83.91
26;Argentina;5.1;11.4;44.94
27;Colombia;4.63;11.4;44.94
28;Australia;4;15.8;25.31
29;Ethiopia;3.92;3.5;112.08
30;Egypt;3.86;3.9;99.06
31;Romania;3.52;18.2;19.36
32;South Africa;3.51;6;58.62
33;Taiwan;3.27;13.9;23.59
34;Netherlands;3.27;18.9;17.34
35;Myanmar;3.19;5.9;54.05
36;Algeria;2.67;6.2;43.41
37;Peru;2.66;8.4;31.78
38;Democratic Republic of the Congo;2.6;3;86.79
39;Morocco;2.53;7.1;35.59
40;North Korea;2.44;9.5;25.67
41;Greece;2.33;21.8;10.7
42;Chile;2.26;11.8;19.11
43;Portugal;2.24;21.8;10.27
44;Belgium;2.15;18.7;11.46
45;Malaysia;2.11;6.4;32.75
47;Sweden;2.05;19.9;10.29
48;Venezuala;1.95;6.8;28.52
49;Hungary;1.89;19.3;9.77
50;Sri Lanka;1.71;7.8;21.9
